"id","name","provider","level","amount","deadline","project_types","requirements","description","contact_info","application_url","created_at","updated_at","status","technology"
"1","179D Energy Efficient Commercial Buildings Tax Deduction","IRS (Enhanced by IRA)","federal","Up to $5.00/sq ft","Permanent","[""Commercial"",""HVAC"",""Lighting"",""Envelope"",""Hot Water""]","[""Minimum 25% energy savings"",""Prevailing wage for maximum deduction"",""Includes government building designers"",""ASHRAE 90.1 compliance""]","Tax deduction for energy efficient commercial building improvements, recently enhanced by the Inflation Reduction Act.","IRS.gov/Form8908","https://www.irs.gov/businesses/179d-commercial-buildings-energy-efficiency-tax-deduction","""2025-05-25T23:56:01.347Z""","""2025-05-25T23:56:01.347Z""","active","efficiency"
"2","45L New Energy Efficient Home Credit","IRS (IRA Enhanced)","federal","$2,500-$5,000/unit","Through 2032","[""New Construction"",""Multifamily"",""Energy Star""]","[""Energy Star certification required"",""$5,000 for Zero Energy Ready"",""Prevailing wage required"",""3 stories or less""]","Federal tax credit for builders of energy efficient residential homes and multifamily projects.","IRS.gov/Form8908","https://www.energystar.gov/partner_resources/residential_new/homes_prog_reqs/45l_fed_tax_credit","""2025-05-25T23:56:01.392Z""","""2025-05-25T23:56:01.392Z""","active","efficiency"
"3","Investment Tax Credit (ITC)","IRS","federal","30% of project cost","Through 2032","[""Solar"",""Storage"",""Geothermal""]","[""Commercial properties"",""Direct pay for non-profits"",""Domestic content bonus +10%"",""Energy community bonus +10%""]","Federal tax credit for solar, battery storage, and other renewable energy systems.","IRS.gov/Form3468","https://www.energy.gov/eere/solar/solar-investment-tax-credit-businesses","""2025-05-25T23:56:01.826Z""","""2025-05-25T23:56:01.826Z""","active","efficiency"
"4","NYS Clean Heat Program","NYSERDA","state","$1,500-$3,000/ton","Ongoing","[""Heat Pumps"",""Geothermal"",""VRF Systems""]","[""Air source or ground source"",""Must replace fossil fuel system"",""Qualified contractor required"",""Higher incentives in disadvantaged areas""]","Incentives for heat pump and geothermal installations in New York State buildings.","cleanheat@nyserda.ny.gov","https://www.nyserda.ny.gov/ny-clean-heat","""2025-05-25T23:56:01.848Z""","""2025-05-25T23:56:01.848Z""","active","efficiency"
"5","Con Edison C&I Energy Efficiency","Con Edison","utility","Up to $1M electric/$250K gas","Ongoing","[""Custom Measures"",""Prescriptive"",""Whole Building""]","["">100kW peak demand"",""50% cost cap per measure"",""Pre-approval required"",""Queens/Brooklyn bonus available""]","Rebates and incentives for energy efficiency projects in Con Edison service territory.","commercialprograms@coned.com","https://coned.com/en/save-money/rebates-incentives-tax-credits/rebates-incentives-tax-credits-for-commercial-industrial-buildings-customers","""2025-05-25T23:56:01.871Z""","""2025-05-25T23:56:01.871Z""","active","efficiency"
"6","NYC Accelerator PACE Financing","NYC Mayor's Office/NYCEEC","local","100% project cost","Ongoing","[""Long-term Finance"",""Energy Efficiency"",""Renewable Energy""]","[""Commercial & multifamily"",""20-year terms available"",""No upfront cash required"",""LL97 compliance projects eligible""]","Long-term, low-cost financing for energy efficiency and renewable energy projects in NYC buildings.","info@nycaccelerator.com","https://accelerator.nyc/pace","""2025-05-25T23:56:01.997Z""","""2025-05-25T23:56:01.997Z""","active","efficiency"
"7","Local Law 97 Compliance Support","NYC Accelerator","local","Free assistance","May 1, 2025 filing","[""Decarbonization"",""Compliance"",""Technical Support""]","[""Buildings >25,000 sq ft"",""Free energy assessments"",""Decarbonization planning"",""Penalty avoidance strategies""]","Technical assistance for NYC buildings to comply with carbon emissions limits under Local Law 97.","info@nycaccelerator.com","https://accelerator.nyc/ll97","""2025-05-25T23:56:02.547Z""","""2025-05-25T23:56:02.547Z""","active","efficiency"
"8","FlexTech Program","NYSERDA","state","50% cost share","Ongoing","[""Energy Studies"",""Feasibility"",""Indoor Air Quality""]","[""Technical studies only"",""Commercial/industrial/institutional"",""Max $1M per study"",""Implementation plan required""]","Cost-sharing for energy studies and feasibility analyses for commercial properties.","flextech@nyserda.ny.gov","https://www.nyserda.ny.gov/All-Programs/Programs/FlexTech-Program","""2025-05-25T23:56:02.843Z""","""2025-05-25T23:56:02.843Z""","active","efficiency"
"9","Energy Storage Incentive Program","NYSERDA","state","$200-350/kWh","Block-based","[""Battery Storage"",""Grid Services"",""Resilience""]","[""NYC/Westchester higher rates"",""Paired with solar gets bonus"",""Min 5 kW system"",""10-year performance requirement""]","Incentives for battery storage systems in New York State, with higher rates in NYC/Westchester.","energystorage@nyserda.ny.gov","https://www.nyserda.ny.gov/All-Programs/Programs/Energy-Storage","""2025-05-25T23:56:03.619Z""","""2025-05-25T23:56:03.619Z""","active","efficiency"
"10","Building Cleaner Communities Competition","NYSERDA","state","$15M available","Dec 30, 2025","[""Net-Zero"",""Carbon Neutral"",""Deep Retrofit""]","[""Carbon neutral design required"",""50%+ to disadvantaged communities"",""Part of Regional EDC process"",""Peak demand reduction focus""]","Competitive funding for carbon-neutral building designs in New York State.","cleaner.buildings@nyserda.ny.gov","https://www.nyserda.ny.gov/All-Programs/Programs/Clean-Energy-Fund","""2025-05-25T23:56:03.929Z""","""2025-05-25T23:56:03.929Z""","active","efficiency"
